name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_my_claim\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_my_claim"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_my_claim_a39d078a52fa7a04aaaac765ae956293
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_my_user_type\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_my_user_type"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_my_user_type_919793171b0c34e2c877a97cee84ef2b
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.calculate_invoice_totals\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""calculate_invoice_totals"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_calculate_invoice_totals_cfd457fab273cb5f5576120895eafe43
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.update_invoice_paid_amount\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""update_invoice_paid_amount"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_update_invoice_paid_amount_3b4487b8482906a44e190ce2d04ed643
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.invoice_item_trigger\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""invoice_item_trigger"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_invoice_item_trigger_88c40c957e08c1892423598f8059307a
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.payment_allocation_trigger\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""payment_allocation_trigger"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_payment_allocation_trigger_a9b1daf306ae2554e0ed17e6051b720c
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_client_performance_by_range\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_client_performance_by_range"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_client_performance_by_range_86a3c1614a39336eedd8fbe6918535ec
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_aging_overview_data\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_aging_overview_data"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_aging_overview_data_099a048eb90a8178aa9ce63e2a4fa0a0
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.set_updated_at\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""set_updated_at"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_set_updated_at_06bcf30ac3d0a7f279a54cbf228a7bec
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.global_search\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""global_search"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_global_search_2e73164e5c07eebc91bf67281126cfb6
